statefip,year,tfr,ue,state.name,tfr.filt
alabama,2001,2.21849837918014,0.0763642806520199,Alabama,
alabama,2002,2.29547907496747,0.0821651090342679,Alabama,2.14519014411287
alabama,2003,1.92159297819101,0.0852303769805136,Alabama,2.10871822009277
alabama,2004,2.10908260711985,0.0773922988943957,Alabama,2.0411359633434
alabama,2005,2.09273230471934,0.079488715797883,Alabama,2.10795136201455
alabama,2006,2.12203917420445,0.0746413338503296,Alabama,2.08121503997939
alabama,2007,2.02887364101437,0.0740205101235866,Alabama,2.11053710138653
alabama,2008,2.18069848894076,0.0743443999483271,Alabama,2.13320177601769
alabama,2009,2.19003319809793,0.11572738347118,Alabama,2.15050016578075
alabama,2010,2.08076881030355,0.122024404880976,Alabama,2.11623404587447
alabama,2011,2.07790012922192,0.127531357298017,Alabama,2.05113778161795
alabama,2012,1.99474440532837,0.112492811960897,Alabama,1.97660580756223
alabama,2013,1.85717288813639,0.106425847305174,Alabama,1.8769200196093
alabama,2014,1.77884276536314,0.0919783752191701,Alabama,1.81880638363994
alabama,2015,1.82040349742029,0.0858108108108108,Alabama,
alaska,2001,2.47862189226247,0.0608917197452229,Alaska,
alaska,2002,2.6575793975451,0.0825101685066822,Alaska,2.53027314953941
alaska,2003,2.45461815881065,0.0793165008926294,Alaska,2.48244643767239
alaska,2004,2.33514175666142,0.0807551127425275,Alaska,2.38108015991089
alaska,2005,2.35348056426059,0.111206159110351,Alaska,2.6322032779825
alaska,2006,3.20798751302549,0.116063919259882,Alaska,2.76483484347679
alaska,2007,2.73303645314431,0.0996649916247906,Alaska,3.02882623984149
alaska,2008,3.14545475335469,0.0919831223628692,Alaska,3.0896432518791
alaska,2009,3.39043854913831,0.124393471548302,Alaska,3.09940650671203
alaska,2010,2.76232621764309,0.122850122850123,Alaska,3.08426993166892
alaska,2011,3.10004502822536,0.124948453608247,Alaska,2.83097198719178
alaska,2012,2.6305447157069,0.125,Alaska,2.69208107056455
alaska,2013,2.34565346776139,0.126852659110724,Alaska,2.49398174820197
alaska,2014,2.50574706113762,0.116043956043956,Alaska,2.46279543029599
alaska,2015,2.53698576198895,0.108615948670944,Alaska,
arizona,2001,2.47970070070353,0.0683267537200122,Arizona,
arizona,2002,2.31817397302856,0.0805380272334773,Arizona,2.43651062033044
arizona,2003,2.51165718725924,0.0793928779918272,Arizona,2.41252059744233
arizona,2004,2.4077306320392,0.0696733593047648,Arizona,2.48431189721095
arizona,2005,2.53354787233441,0.0681919920417807,Arizona,2.38721415589274
arizona,2006,2.22036396330462,0.0552685446924652,Arizona,2.39448263482919
arizona,2007,2.42953606884856,0.0635005336179296,Arizona,2.35663323264755
arizona,2008,2.41999966578947,0.064747856903405,Arizona,2.37709584935624
arizona,2009,2.28175181343067,0.107755222703981,Arizona,2.28073828891907
arizona,2010,2.14046338753705,0.128384710234279,Arizona,2.21288014106589
arizona,2011,2.21642522222994,0.124822623150213,Arizona,2.21335030273909
arizona,2012,2.28316229845026,0.112357862044783,Arizona,2.19862212388951
arizona,2013,2.09627885098833,0.0957393733785672,Arizona,2.12388226034703
arizona,2014,1.99220563160251,0.0879862061970688,Arizona,2.05493833333722
arizona,2015,2.07633051742083,0.0739692805173808,Arizona,
arkansas,2001,2.42350040802068,0.0668425681618294,Arkansas,
arkansas,2002,2.41053194093241,0.0764781491002571,Arkansas,2.32783619194822
arkansas,2003,2.14947622689157,0.0806015037593985,Arkansas,2.19316843445813
arkansas,2004,2.01949713555041,0.0812199036918138,Arkansas,2.1508306917561
arkansas,2005,2.28351871282632,0.077186774300564,Arkansas,2.13438077364005
arkansas,2006,2.10012647254343,0.0760881363291002,Arkansas,2.17626426549365
arkansas,2007,2.14514761111119,0.0801742919389978,Arkansas,2.11958214436738
arkansas,2008,2.11347234944752,0.0741621621621622,Arkansas,2.20672834613438
arkansas,2009,2.36156507784442,0.0980932436900694,Arkansas,2.18662454603029
arkansas,2010,2.08483621079892,0.112228752260398,Arkansas,2.09901009681411
arkansas,2011,1.85062900179897,0.103680908983312,Arkansas,2.00701777713555
arkansas,2012,2.08558811880875,0.104207719948997,Arkansas,1.97188932759869
arkansas,2013,1.97945086218833,0.0910497500595096,Arkansas,2.01880241332262
arkansas,2014,1.99136825897077,0.0812754735075521,Arkansas,1.97712838514214
arkansas,2015,1.96056603426732,0.0698564593301436,Arkansas,
california,2001,2.12004592659087,0.07065099848605,California,
california,2002,2.04598022138366,0.0852736210901626,California,2.05542533730479
california,2003,2.00024986393984,0.0913337782438745,California,2.0282649643796
california,2004,2.03856480781531,0.0809899587110014,California,2.06011658114291
california,2005,2.14153507167359,0.0774881516587678,California,2.09005683621343
california,2006,2.0900706291514,0.0705581697225377,California,2.1291213957027
california,2007,2.15575848628313,0.0726716858359696,California,2.17258189703992
california,2008,2.27191657568522,0.0778497336017528,California,2.19440160392935
california,2009,2.15552974981972,0.120545191379865,California,2.14806499523944
california,2010,2.01674866021338,0.133390623508068,California,2.06904269608274
california,2011,2.03484967821512,0.130539029227218,California,2.00898682594096
california,2012,1.97536213939439,0.120671092768706,California,1.95637878485258
california,2013,1.85892453694824,0.10727741104492,California,1.89092124051355
california,2014,1.83847704519804,0.0911720383063536,California,1.82369967537196
california,2015,1.7736974439696,0.0779306513810954,California,
colorado,2001,2.19933801720787,0.0543274093339113,Colorado,
colorado,2002,2.07108891599424,0.0707936507936508,Colorado,2.06391653401911
colorado,2003,1.92132266885524,0.0735012520253351,Colorado,1.99876853563681
colorado,2004,2.00389402206095,0.0781959291257871,Colorado,2.04943039982938
colorado,2005,2.22307450857195,0.0658616296460422,Colorado,2.11652317001228
colorado,2006,2.12260097940394,0.0566781665845244,Colorado,2.19470854629775
colorado,2007,2.23845015091736,0.0583088764604906,Colorado,2.21545374337125
colorado,2008,2.28531009979245,0.047529437066509,Colorado,2.22875106692233
colorado,2009,2.16249295005717,0.085423581261222,Colorado,2.15086210764332
colorado,2010,2.00478327308033,0.0987763689718177,Colorado,2.08331920857565
colorado,2011,2.08268140258945,0.0968689951395953,Colorado,2.01218341190283
colorado,2012,1.94908556003872,0.0787732675487778,Colorado,1.98150507034534
colorado,2013,1.91274824840785,0.074807903402854,Colorado,1.94111890701625
colorado,2014,1.96152291260219,0.0582895888013998,Colorado,1.85905261069634
colorado,2015,1.70288667107897,0.0499276022952754,Colorado,
connecticut,2001,1.89847193489728,0.0496287612348574,Connecticut,
connecticut,2002,2.23597584273361,0.0662425970607589,Connecticut,2.15995026942915
connecticut,2003,2.34540303065655,0.0726827276439363,Connecticut,2.22496223026229
connecticut,2004,2.09350781739672,0.0683497536945813,Connecticut,2.17241636466556
connecticut,2005,2.07833824594343,0.0653044544340008,Connecticut,2.08841636501281
connecticut,2006,2.09340303169829,0.0638229890566339,Connecticut,2.11310549925707
connecticut,2007,2.1675752201295,0.0648833691585065,Connecticut,2.09239415657183
connecticut,2008,2.01620421788772,0.0650820599886814,Connecticut,2.07371472990889
connecticut,2009,2.03736475170946,0.0965729563315239,Connecticut,2.00770310300587
connecticut,2010,1.96954033942042,0.105769230769231,Connecticut,1.959811289898
connecticut,2011,1.87252877856411,0.105510254509513,Connecticut,1.89899282770382
connecticut,2012,1.85490936512693,0.10347129506008,Connecticut,1.86471789975964
connecticut,2013,1.86671555558788,0.092951651826579,Connecticut,1.82978460434047
connecticut,2014,1.7677288923066,0.0826496243198895,Connecticut,1.79015722996348
connecticut,2015,1.73602724199598,0.0711743772241993,Connecticut,
delaware,2001,2.07379085821716,0.0452261306532663,Delaware,
delaware,2002,2.22315446686822,0.063526834611172,Delaware,2.11375676677913
delaware,2003,2.044324975252,0.0685037342261138,Delaware,2.02483746093545
delaware,2004,1.80703294068615,0.0669678448046771,Delaware,2.01397422416652
delaware,2005,2.19056475656141,0.0709953621120228,Delaware,2.05318652705865
delaware,2006,2.16196188392838,0.061136932427601,Delaware,1.9712481236725
delaware,2007,1.56121773052771,0.0582726326742976,Delaware,1.98539952284444
delaware,2008,2.23301895407723,0.0767352633414719,Delaware,1.97870693443782
delaware,2009,2.14188411870852,0.0893042575285566,Delaware,2.09731676320355
delaware,2010,1.9170472168249,0.100761145342515,Delaware,1.96943899718973
delaware,2011,1.84938565603578,0.108219178082192,Delaware,1.94095827287099
delaware,2012,2.05644194575229,0.0889046941678521,Delaware,1.97012636366966
delaware,2013,2.00455148922092,0.0881712626995646,Delaware,2.01449076452166
delaware,2014,1.98247885859176,0.0848246241947029,Delaware,2.03911990295009
delaware,2015,2.13032936103759,0.0689273866568375,Delaware,
district of columbia,2001,1.81024244166112,0.0776470588235294,District Of Columbia,
district of columbia,2002,1.54178312237663,0.100076103500761,District Of Columbia,1.65195148176569
district of columbia,2003,1.60382888125931,0.109034267912773,District Of Columbia,1.56390980638342
district of columbia,2004,1.54611741551432,0.088,District Of Columbia,1.78316103734133
district of columbia,2005,2.19953681525038,0.0932412432165762,District Of Columbia,1.71303941465504
district of columbia,2006,1.39346401320043,0.089628681177977,District Of Columbia,1.70659406714058
district of columbia,2007,1.52678137297092,0.0734312416555407,District Of Columbia,1.43686956417614
district of columbia,2008,1.39036330635706,0.0672413793103448,District Of Columbia,1.46693434360734
district of columbia,2009,1.48365835149404,0.0980819529206626,District Of Columbia,1.58407688392181
district of columbia,2010,1.87820899391434,0.121665319320938,District Of Columbia,1.55119665887107
district of columbia,2011,1.29172263120483,0.108611326609775,District Of Columbia,1.54503092168755
district of columbia,2012,1.46516113994348,0.095553105475928,District Of Columbia,1.42953809861097
district of columbia,2013,1.5317305246846,0.0991243432574431,District Of Columbia,1.49577676407273
district of columbia,2014,1.49043862759013,0.0791117279666898,District Of Columbia,1.53276064802753
district of columbia,2015,1.57611279180787,0.0637720488466757,District Of Columbia,
florida,2001,2.04184923743123,0.0661536924153093,Florida,
florida,2002,1.96476931456656,0.0747327017893746,Florida,1.97663011842167
florida,2003,1.92327180326722,0.0774751745157802,Florida,1.99495957643363
florida,2004,2.09683761146712,0.0747778874629812,Florida,2.04470173997451
florida,2005,2.1139958051892,0.0672410277324633,Florida,2.07638637807951
florida,2006,2.01832571758219,0.0573773124357657,Florida,2.0425845686244
florida,2007,1.99543218310181,0.06771640695113,Florida,2.05249957011356
florida,2008,2.14374080965667,0.0765269421919958,Florida,2.07980330204435
florida,2009,2.10023691337456,0.120886456177825,Florida,2.06694253532298
florida,2010,1.95684988293771,0.133592194011615,Florida,1.98773899337394
florida,2011,1.90613018380954,0.128751076658053,Florida,1.92145987096333
florida,2012,1.90139954614276,0.118127955836073,Florida,1.87260441877744
florida,2013,1.81028352638002,0.100927807722895,Florida,1.85701462600674
florida,2014,1.85936080549744,0.0842231403480532,Florida,1.78560135258392
florida,2015,1.68715972587429,0.0739190825557376,Florida,
georgia,2001,2.35397979222748,0.0604104015566956,Georgia,
georgia,2002,2.1055020226561,0.0697302697302697,Georgia,2.15084247638723
georgia,2003,1.99304561427812,0.0769571770547034,Georgia,2.09097783730102
georgia,2004,2.17438587496885,0.0764485981308411,Georgia,2.1474241583252
georgia,2005,2.27484098572862,0.0780755630001861,Georgia,2.24456515783311
georgia,2006,2.28446861280186,0.0717004698745019,Georgia,2.21281766738235
georgia,2007,2.07914340361658,0.0730827695150666,Georgia,2.21831735513946
georgia,2008,2.29134004899996,0.0714474806600582,Georgia,2.20082745889836
georgia,2009,2.23199892407853,0.110566642908054,Georgia,2.24119915750397
georgia,2010,2.20025849943343,0.128005099562895,Georgia,2.14641594416315
georgia,2011,2.00699040897749,0.130309386470897,Georgia,2.08318771014078
georgia,2012,2.04231422201142,0.113519459092233,Georgia,2.00778867286742
georgia,2013,1.97406138761334,0.107471722160268,Georgia,1.9980219924121
georgia,2014,1.97769036761155,0.0890364808932525,Georgia,1.98683437851223
georgia,2015,2.00875138031181,0.07604954157954,Georgia,
hawaii,2001,2.39354528279797,0.0587670904293596,Hawaii,
hawaii,2002,2.22490968916736,0.0644235785080856,Hawaii,2.17094511658393
hawaii,2003,1.89438037778647,0.0639010564287555,Hawaii,2.14152057777554
hawaii,2004,2.3052716663728,0.0545179202423019,Hawaii,2.12023790736457
hawaii,2005,2.16106167793442,0.0547657888604055,Hawaii,2.19620826990166
hawaii,2006,2.12229146539776,0.0465790060173836,Hawaii,2.15863630629356
hawaii,2007,2.19255577554849,0.0507535460992908,Hawaii,2.22074652525357
hawaii,2008,2.34739233481447,0.04913108774941,Hawaii,2.31143084589213
hawaii,2009,2.39434442731342,0.0790960451977401,Hawaii,2.43325339439415
hawaii,2010,2.55802342105454,0.0875507153534059,Hawaii,2.50886866970958
hawaii,2011,2.57423816076078,0.0743359040274207,Hawaii,2.45461692688894
hawaii,2012,2.23158919885151,0.0671801454856654,Hawaii,2.29508335926855
hawaii,2013,2.07942271819336,0.0551782682512734,Hawaii,2.1904189659744
hawaii,2014,2.26024498087831,0.0564329332491051,Hawaii,2.1378045724311
hawaii,2015,2.07374601822164,0.052565445026178,Hawaii,
idaho,2001,2.87043106024661,0.0722454672245467,Idaho,
idaho,2002,2.90549376336827,0.0695624803273529,Idaho,2.81196739672298
idaho,2003,2.65997736655407,0.0697872340425532,Idaho,2.77090463350753
idaho,2004,2.74724277060027,0.0640394088669951,Idaho,2.6673000769307
idaho,2005,2.59468009363777,0.0598669623059867,Idaho,2.67071350433378
idaho,2006,2.6702176487633,0.0555981595092025,Idaho,2.70697370393932
idaho,2007,2.8560233694169,0.0563241106719368,Idaho,2.79715477827584
idaho,2008,2.86522331664734,0.0592649605541659,Idaho,2.92388433760643
idaho,2009,3.05040632675506,0.102972195589645,Idaho,2.79572700657553
idaho,2010,2.47155137632419,0.0978153906711277,Idaho,2.73097058123314
idaho,2011,2.67095404062019,0.101401483924155,Idaho,2.50855224308578
idaho,2012,2.38315131231296,0.0848748639825898,Idaho,2.41786334200628
idaho,2013,2.19948467308569,0.0841180163214062,Idaho,2.36260442799177
idaho,2014,2.50517729857667,0.0586839266450917,Idaho,2.34176568696727
idaho,2015,2.32063508923944,0.0546494386782461,Idaho,
illinois,2001,2.22310717545278,0.0679177837354781,Illinois,
illinois,2002,2.12575522602395,0.0852879774039052,Illinois,2.08764159573936
illinois,2003,1.91406238574136,0.0846530377195508,Illinois,1.99864925294612
illinois,2004,1.95613014707306,0.0870098755332204,Illinois,2.01122461871108
illinois,2005,2.16348132331883,0.0838130527801672,Illinois,2.06238618262519
illinois,2006,2.0675470774837,0.0755137839184009,Illinois,2.09451204009564
illinois,2007,2.05250771948441,0.0767544335670408,Illinois,2.10536122712054
illinois,2008,2.19602888439351,0.0698463814787415,Illinois,2.12033009437277
illinois,2009,2.1124536792404,0.105921822234975,Illinois,2.12112403244177
illinois,2010,2.05488953369141,0.116810258465237,Illinois,2.02054099215842
illinois,2011,1.89427976354345,0.114401831176718,Illinois,1.9344959380152
illinois,2012,1.85431851681074,0.108774945984248,Illinois,1.85352274415473
illinois,2013,1.81196995211002,0.0998438863125029,Illinois,1.85182106077507
illinois,2014,1.88917471340445,0.0846235669542607,Illinois,1.85579840621748
illinois,2015,1.86625055313796,0.0726478382314322,Illinois,
indiana,2001,2.09735114285161,0.0653186533982638,Indiana,
indiana,2002,2.38166791101805,0.0713099193165638,Indiana,2.22515824680652
indiana,2003,2.19645568654989,0.0796174802624263,Indiana,2.25951053137459
indiana,2004,2.20040799655584,0.0729522184300341,Indiana,2.20166824487684
indiana,2005,2.20814105152478,0.0765746145134594,Indiana,2.18794992663354
indiana,2006,2.15530073182002,0.0737752884133088,Indiana,2.22073154537702
indiana,2007,2.29875285278627,0.0720161083026305,Indiana,2.24413803200174
indiana,2008,2.27836051139894,0.0758726636511052,Indiana,2.26479006331525
indiana,2009,2.21725682576054,0.11595966620306,Indiana,2.16953021466973
indiana,2010,2.01297330684971,0.115561569688769,Indiana,2.08313192340554
indiana,2011,2.01916563760638,0.112311522382451,Indiana,2.0550202918122
indiana,2012,2.1329219309805,0.0975223546944858,Indiana,2.03651424692564
indiana,2013,1.95745517219004,0.0858330577731589,Indiana,2.0249710089332
indiana,2014,1.98453592362906,0.0777751701478526,Indiana,1.9655740315435
indiana,2015,1.9547309988114,0.0679388214987774,Indiana,
iowa,2001,2.34868747813106,0.0526917216861351,Iowa,
iowa,2002,2.35687193257428,0.0601710888792229,Iowa,2.30919968309913
iowa,2003,2.22203963859204,0.0593795766209559,Iowa,2.28435118185155
iowa,2004,2.27414197438832,0.0642201834862385,Iowa,2.247726959591
iowa,2005,2.24699926579263,0.0569803226708943,Iowa,2.28408704893354
iowa,2006,2.33111990661966,0.0478443274123003,Iowa,2.32555495351174
iowa,2007,2.39854568812293,0.049205215217003,Iowa,2.40939061523479
iowa,2008,2.49850625096177,0.0410488245931284,Iowa,2.41341667813229
iowa,2009,2.34319809531216,0.0650070455612964,Iowa,2.3776059909373
iowa,2010,2.29111362653798,0.0704506560182544,Iowa,2.25428161954785
iowa,2011,2.12853313679342,0.0713594113090627,Iowa,2.19711705998587
iowa,2012,2.17170441662621,0.0551073962484206,Iowa,2.13557265535265
iowa,2013,2.10648041263832,0.0529468599033816,Iowa,2.20997816930254
iowa,2014,2.35174967864311,0.0492420489448132,Iowa,2.16585206335013
iowa,2015,2.03932609876897,0.0437530864197531,Iowa,
kansas,2001,2.23782743291399,0.0429343629343629,Kansas,
kansas,2002,2.3618000827444,0.0605416887944769,Kansas,2.28777625840715
kansas,2003,2.26370125956306,0.0625709191116875,Kansas,2.35591392598697
kansas,2004,2.44224043565346,0.0559347428000666,Kansas,2.31923654951919
kansas,2005,2.25176795334107,0.0575012543903663,Kansas,2.33423263243299
kansas,2006,2.30868950830444,0.0511898980087421,Kansas,2.36983630278776
kansas,2007,2.54905144671778,0.0555108608205953,Kansas,2.37662966728144
kansas,2008,2.27214804682212,0.0446859903381642,Kansas,2.48307965049401
kansas,2009,2.62803945794212,0.0737460088577608,Kansas,2.43781857318285
kansas,2010,2.41326821478432,0.0805156382079459,Kansas,2.48113811386555
kansas,2011,2.4021066688702,0.0824092193955208,Kansas,2.35559236784697
kansas,2012,2.2514022198864,0.07194791101465,Kansas,2.32415432147743
kansas,2013,2.3189540756757,0.0654851955910957,Kansas,2.29171595131504
kansas,2014,2.30479155838301,0.0541027953110911,Kansas,2.20722096267039
kansas,2015,1.99791725395246,0.0499887917507285,Kansas,
kentucky,2001,2.28317190519752,0.072383325781604,Kentucky,
kentucky,2002,2.310962730706,0.0806777946383409,Kentucky,2.1936070142374
kentucky,2003,1.98668640680869,0.0812825366777094,Kentucky,2.12028991277595
kentucky,2004,2.06322060081317,0.0738946093276802,Kentucky,2.0574224399944
